nome;CPF;tipo;tipoDependencia;grauDependencia;titularCPF;numeroMatricula;dataAdmissaoEmpresa;dataNascimento;sexo;raca;estadoCivil;nomeMae;nomePai;CNS;CBO;recemNato;numeroDeclaracaoNascidoVivo;tipoDocumento;documentoIdentificacao;orgaoExpedidor;orgaoExpedidorUF;dataExpedicao;naturalidadeCidade;naturalidadeEstado;cnhValidade;cnhCategoria;pisPasepNit;tituloEleitoral;certidaoCasamento;produtoAcessorio;produtoAssistencial;tipoEndereco;correspondencia;cartaoMagnetico;cep;endereco;numero;complemento;bairro;cidade;uf;pais;telefoneResidencial;telefoneComercial;telefoneCelular;dataBaseCarencia;dataVinculoComTitular;dataInicioVigencia;contratanteCNPJ;numeroContrato
GABRIEL MOURA;807.512.396-40;titular;normal;0;;8075;25/01/2011;04/08/1963;F;2;casado;BODA REPO;LASABA REPO;634161970110009;;;;;;;;;;;;;;;;1020;5046;residencial;;;80887-162;RUA FOTURATO LOFO;723;AP 46;SAO MIGUEL;CURITIBA;PR;BRASIL;(49) 3947-6744;(49) 3438-1169;(42) 99620-8022;;;28/08/2021;;
DRA ANA CLARA BARBOSA;261.984.037-69;dependente;normal;1;807.512.396-40;6816;24/02/2015;06/03/2005;M;5;casado;GOGA PIPE;DUFOJIMO MADIFA PIPE;368848357090002;;;;;;;;;;;;;;;;1020;5046;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;28/08/2021;28/08/2021;;
LAIS MORAES;312.865.970-21;titular;normal;0;;6816;24/02/2015;21/11/1978;F;5;casado;MANEMOPE PIPE;NEDISEMU FADOLEPO PIPE;180237000270007;;;;;;;;;;;;;;;;1020;5046;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;;28/08/2021;;
MARCOS VINICIUS LIMA;478.596.301-84;dependente;normal;1;312.865.970-21;2301;07/12/2005;18/02/2010;F;3;casado;CUPAMO MORO;RERORU FOFU MORO;128843888890003;;;;;;;;;;;;;;;;1020;5046;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;28/08/2021;28/08/2021;;
ANA VIEIRA;093.872.614-50;titular;normal;0;;2301;07/12/2005;21/02/1954;M;3;casado;BINI MORO;CUFU LIROGU MORO;008193183270018;;;;;;;;;;;;;;;;1020;5046;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;;28/08/2021;;
PEDRO LUCAS LOPES;598.032.167-59;dependente;normal;10;093.872.614-50;2301;07/12/2005;13/02/2009;F;3;solteiro;PATACA MORO;BALANE MORO;804787762430005;;;;;;;;;;;;;;;;1020;5046;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;28/08/2021;28/08/2021;;
LARISSA MENDES;054.829.137-32;titular;normal;0;;2301;07/12/2005;15/06/2000;F;3;solteiro;PATACA MORO;BALANE MORO;263273466520001;;;;;;;;;;;;;;;;1020;5046;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;;28/08/2021;;
MAYSA RODRIGUES;510.946.723-43;dependente;normal;10;054.829.137-32;1145;12/05/2001;22/12/2003;F;5;casado;NOFU CATOBI;TOBI SATEGI CATOBI;099351481850004;;;;;;;;;;;;;;;;1020;5046;residencial;;;80093-908;RUA DAMO DUCOJU;611;AP 38;CACHOEIRA;CURITIBA;PR;BRASIL;(44) 3517-8345;(45) 3411-6914;(42) 98336-5733;;28/08/2021;28/08/2021;;
EMANUELLY COSTA;156.038.427-17;titular;normal;0;;1145;12/05/2001;09/10/1975;M;5;casado;SALARA CATOBI;RAMISA CATOBI;563605977580007;;;;;;;;;;;;;;;;1020;5046;residencial;;;80093-908;RUA DAMO DUCOJU;611;AP 38;CACHOEIRA;CURITIBA;PR;BRASIL;(44) 3517-8345;(45) 3411-6914;(42) 98336-5733;;;28/08/2021;;
JOAO MIGUEL DA CONCEICAO;538.647.219-46;dependente;normal;10;156.038.427-17;9426;25/04/2002;06/04/2009;M;5;casado;BEFABE SUPOGAGI;TOSOBA DADA SUPOGAGI;535702790700018;;;;;;;;;;;;;;;;1020;5046;residencial;;;81955-355;RUA BOTIBANA FOFUFABA JAGIFE;637;AP 59;SANTA QUITERIA;CURITIBA;PR;BRASIL;(46) 3836-9016;(44) 3776-8874;(49) 98303-9816;;28/08/2021;28/08/2021;;
