nome;CPF;tipo;tipoDependencia;grauDependencia;titularCPF;numeroMatricula;dataAdmissaoEmpresa;dataNascimento;sexo;raca;estadoCivil;nomeMae;nomePai;CNS;CBO;recemNato;numeroDeclaracaoNascidoVivo;tipoDocumento;documentoIdentificacao;orgaoExpedidor;orgaoExpedidorUF;dataExpedicao;naturalidadeCidade;naturalidadeEstado;cnhValidade;cnhCategoria;pisPasepNit;tituloEleitoral;certidaoCasamento;produtoAcessorio;produtoAssistencial;tipoEndereco;correspondencia;cartaoMagnetico;cep;endereco;numero;complemento;bairro;cidade;uf;pais;telefoneResidencial;telefoneComercial;telefoneCelular;dataBaseCarencia;dataVinculoComTitular;dataInicioVigencia;contratanteCNPJ;numeroContrato
LUIZ HENRIQUE BARBOSA
LUIZ HENRIQUE BARBOSA;531.689.207-03;titular;normal;0;904.386.752-74;8075;25/01/2011;22/03/1989;F;2;casado;BODA REPO;LASABA REPO;402086112700001;;;;;;;;;;;;;;;;1020;5046;residencial;;;80887-162;RUA FOTURATO LOFO;723;AP 46;SAO MIGUEL;CURITIBA;PR;BRASIL;(49) 3947-6744;(49) 3438-1169;(42) 99620-8022;;01/12/2021;03/12/2021;;
DAVI LUCAS TEIXEIRA;582.309.741-79;dependente;normal;1;531.689.207-03;6816;24/02/2015;28/09/2008;M;5;casado;GOGA PIPE;DUFOJIMO MADIFA PIPE;937399013260008;;;;;;;;;;;;;;;;1020;5046;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;03/12/2021;03/12/2021;;
MARIA PORTO;621.478.390-78;titular;normal;0;642.715.089-85;6816;24/02/2015;30/12/1992;F;5;casado;MANEMOPE PIPE;NEDISEMU FADOLEPO PIPE;398458758410003;;;;;;;;;;;;;;;;1020;5046;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;01/12/2021;03/12/2021;;
SABRINA MENDES;931.074.258-50;dependente;normal;1;621.478.390-78;2301;07/12/2005;30/11/2006;F;3;casado;CUPAMO MORO;RERORU FOFU MORO;812775704250007;;;;;;;;;;;;;;;;1020;5046;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;03/12/2021;03/12/2021;;
=======
EMANUELLY GOMES;879.532.104-79;titular;normal;0;;8075;25/01/2011;10/12/1998;F;2;casado;BODA REPO;LASABA REPO;545033843150003;;;;;;;;;;;;;;;;1020;5046;residencial;;;80887-162;RUA FOTURATO LOFO;723;AP 46;SAO MIGUEL;CURITIBA;PR;BRASIL;(49) 3947-6744;(49) 3438-1169;(42) 99620-8022;;;20/09/2021;;
BERNARDO DAS NEVES;876.352.410-44;dependente;normal;1;879.532.104-79;6816;24/02/2015;17/08/2010;M;5;casado;GOGA PIPE;DUFOJIMO MADIFA PIPE;440984863320007;;;;;;;;;;;;;;;;1020;5046;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;20/09/2021;20/09/2021;;
PEDRO CARDOSO;904.386.752-74;titular;normal;0;;6816;24/02/2015;10/02/1954;F;5;casado;MANEMOPE PIPE;NEDISEMU FADOLEPO PIPE;156935214760004;;;;;;;;;;;;;;;;1020;5045;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;;01/12/2021;;
BENICIO ROCHA;958.217.603-21;dependente;normal;1;159.830.467-48;2301;07/12/2005;12/09/2011;F;3;casado;CUPAMO MORO;RERORU FOFU MORO;751492687880006;;;;;;;;;;;;;;;;1020;5046;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;20/09/2021;20/09/2021;;
>>>>>>> MOV_CAD_TRANSF_GRUPO_FAMILIAR_MASSA_CANAL
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
